Country	Record	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	
Albania	PBA_MtCO2perCap	2.073071e+00	2.018874e+00	2.244190e+00	2.018938e+00	2.067125e+00	2.088712e+00	2.198472e+00	2.274078e+00	2.506365e+00	2.885976e+00	2.862279e+00	2.444924e+00	2.470658e+00	2.596028e+00	2.752348e+00	2.570189e+00	2.545792e+00	2.581718e+00	2.515963e+00	2.404627e+00	1.994802e+00	1.331582e+00	7.160370e-01	6.754900e-01	7.195554e-01	6.411978e-01	6.420388e-01	4.967790e-01	5.740715e-01	9.749812e-01	1.014559e+00	1.095036e+00	1.277937e+00	1.380109e+00	1.446346e+00	1.373740e+00	1.369402e+00	1.417164e+00	1.413830e+00	1.281290e+00	1.398891e+00	1.489958e+00	1.451256e+00	1.519340e+00	1.504672e+00	1.536429e+00	
Albania	CBA_MtCO2perCap	2.173367e+00	2.080542e+00	2.276589e+00	2.040225e+00	2.084058e+00	2.103557e+00	2.218829e+00	2.281017e+00	2.530760e+00	2.822953e+00	2.757285e+00	2.354891e+00	2.416485e+00	2.559486e+00	2.725101e+00	2.572552e+00	2.533356e+00	2.561531e+00	2.512949e+00	2.403345e+00	1.971056e+00	1.498333e+00	1.019859e+00	1.026262e+00	1.009931e+00	9.350275e-01	9.977353e-01	7.867324e-01	8.815438e-01	1.265066e+00	1.352851e+00	1.473261e+00	1.681329e+00	1.859032e+00	1.997789e+00	1.983049e+00	2.075286e+00	2.213968e+00	2.252700e+00	2.050973e+00	2.149121e+00	2.309272e+00	2.258804e+00	2.310829e+00	2.299164e+00	2.309234e+00	
Albania	Population	2135479	2187853	2243126	2296752	2350124	2404831	2458526	2513546	2566266	2617832	2671997	2726056	2784278	2843960	2904429	2964762	3022635	3083605	3142336	3227943	3286542	3266790	3247039	3227287	3207536	3187784	3168033	3148281	3128530	3108778	3089027	3060173	3051010	3039616	3026939	3011487	2992547	2970017	2947314	2927519	2913021	2904780	2900247	2896652	2893654	2889167	
Albania	PBA_GgCO2PerBnUSDGDP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.154362e+03	3.877104e+03	3.539965e+03	3.691416e+03	3.718721e+03	3.324019e+03	3.119491e+03	3.818581e+03	3.277175e+03	1.775142e+03	1.162326e+03	8.430608e+02	6.135935e+02	6.627391e+02	6.634348e+02	8.876170e+02	8.628750e+02	8.252152e+02	8.791276e+02	7.299529e+02	5.985073e+02	5.070755e+02	4.557059e+02	3.933273e+02	3.234909e+02	3.114359e+02	3.416631e+02	3.357416e+02	3.416456e+02	3.443385e+02	3.293530e+02	3.894409e+02	
Albania	CBA_GgCO2PerBnUSDGDP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.113236e+03	3.880668e+03	3.522674e+03	3.662551e+03	3.714266e+03	3.322247e+03	3.082357e+03	4.296773e+03	4.667716e+03	2.696947e+03	1.631381e+03	1.229394e+03	9.535311e+02	1.049558e+03	1.018770e+03	1.151708e+03	1.150590e+03	1.110244e+03	1.156631e+03	9.832603e+02	8.266983e+02	7.319838e+02	6.906079e+02	6.144768e+02	5.154284e+02	4.985185e+02	5.248980e+02	5.203626e+02	5.317536e+02	5.237189e+02	5.032569e+02	5.853249e+02	
Albania	GDP_MilUSD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.924242e+00	1.965385e+00	2.173750e+00	2.156625e+00	2.126000e+00	2.335125e+00	2.101625e+00	1.139167e+00	7.094526e-01	1.228071e+00	1.985674e+00	2.424499e+00	3.314898e+00	2.359903e+00	2.707124e+00	3.414761e+00	3.632044e+00	4.060759e+00	4.435079e+00	5.746946e+00	7.314865e+00	8.158549e+00	8.992642e+00	1.070101e+01	1.288135e+01	1.204421e+01	1.192695e+01	1.289087e+01	1.231978e+01	1.278103e+01	1.321986e+01	1.139839e+01	
Algeria	PBA_GgCO2	1.775200e+04	2.073200e+04	3.143400e+04	4.223300e+04	3.600900e+04	3.303300e+04	4.268900e+04	4.731000e+04	5.243500e+04	5.317000e+04	5.331900e+04	5.103200e+04	5.387400e+04	5.647700e+04	5.909100e+04	6.746400e+04	7.078000e+04	6.839700e+04	6.929400e+04	6.957600e+04	6.652900e+04	7.130800e+04	7.784200e+04	7.831600e+04	7.566000e+04	7.801300e+04	7.674700e+04	7.548600e+04	7.593500e+04	7.905100e+04	8.176200e+04	8.065800e+04	8.449600e+04	9.099300e+04	9.046000e+04	9.628800e+04	1.013990e+05	1.042510e+05	1.087790e+05	1.125470e+05	1.147500e+05	1.202710e+05	1.283430e+05	1.314350e+05	1.416150e+05	1.476920e+05	
Algeria	CBA_GgCO2	1.480894e+04	1.578687e+04	1.891892e+04	2.054020e+04	2.124363e+04	2.422531e+04	2.783536e+04	3.225134e+04	3.849378e+04	4.020641e+04	4.150172e+04	4.346224e+04	4.754078e+04	5.096755e+04	5.131756e+04	5.365368e+04	5.652330e+04	5.078802e+04	5.583535e+04	5.235811e+04	4.450118e+04	4.357696e+04	4.265275e+04	4.658738e+04	4.235645e+04	3.928868e+04	3.612909e+04	3.518340e+04	4.005427e+04	3.894350e+04	3.420415e+04	3.627310e+04	3.984306e+04	4.089460e+04	4.238572e+04	4.303343e+04	4.209049e+04	4.582444e+04	5.047783e+04	6.037079e+04	5.988532e+04	6.113247e+04	6.488801e+04	6.886849e+04	7.356600e+04	7.796753e+04	
Algeria	PBA_MtCO2perCap	1.220066e+00	1.385819e+00	2.044209e+00	2.672226e+00	2.216332e+00	1.976947e+00	2.483328e+00	2.674364e+00	2.879093e+00	2.834107e+00	2.757253e+00	2.558807e+00	2.618331e+00	2.660459e+00	2.698976e+00	2.989643e+00	3.045444e+00	2.859659e+00	2.817804e+00	2.754648e+00	2.567462e+00	2.685368e+00	2.863847e+00	2.818544e+00	2.667652e+00	2.699010e+00	2.609391e+00	2.525653e+00	2.503059e+00	2.569381e+00	2.621950e+00	2.553250e+00	2.641293e+00	2.808869e+00	2.756479e+00	2.894323e+00	3.004475e+00	3.042761e+00	3.124840e+00	3.179133e+00	3.184302e+00	3.275610e+00	3.428017e+00	3.441956e+00	3.637278e+00	3.723342e+00	
Algeria	CBA_MtCO2perCap	1.017794e+00	1.055264e+00	1.230331e+00	1.299648e+00	1.307532e+00	1.449828e+00	1.619254e+00	1.823121e+00	2.113611e+00	2.143112e+00	2.146153e+00	2.179250e+00	2.310530e+00	2.400926e+00	2.343925e+00	2.377643e+00	2.432022e+00	2.123432e+00	2.270515e+00	2.072959e+00	1.717372e+00	1.641052e+00	1.569216e+00	1.676651e+00	1.493422e+00	1.359268e+00	1.228386e+00	1.177186e+00	1.320316e+00	1.265774e+00	1.096861e+00	1.148235e+00	1.245470e+00	1.262378e+00	1.291569e+00	1.293542e+00	1.247150e+00	1.337472e+00	1.450052e+00	1.705303e+00	1.661812e+00	1.664958e+00	1.733147e+00	1.803495e+00	1.889489e+00	1.965575e+00	
Algeria	Population	14550033	14960111	15377095	15804428	16247113	16709098	17190236	17690184	18212331	18760761	19337723	19943667	20575701	21228288	21893857	22565908	23241276	23917889	24591493	25257671	25912364	26554277	27180921	27785977	28362015	28904300	29411839	29887717	30336880	30766551	31183658	31590320	31990387	32394886	32817225	33267887	33749328	34261971	34811059	35401790	36036159	36717132	37439427	38186135	38934334	39666519	
Algeria	PBA_GgCO2PerBnUSDGDP	3.650056e+03	4.083335e+03	4.648771e+03	4.845954e+03	2.725949e+03	2.123225e+03	2.407951e+03	2.255876e+03	1.988849e+03	1.599414e+03	1.259149e+03	1.150700e+03	1.191716e+03	1.157283e+03	1.100426e+03	1.164420e+03	1.111211e+03	1.024793e+03	1.172704e+03	1.250659e+03	1.072268e+03	1.559826e+03	1.621597e+03	1.567999e+03	1.778454e+03	1.867946e+03	1.634950e+03	1.566819e+03	1.575816e+03	1.625206e+03	1.492278e+03	1.473348e+03	1.488646e+03	1.340817e+03	1.060182e+03	9.330413e+02	8.664582e+02	7.723612e+02	6.361308e+02	8.202476e+02	7.118177e+02	6.013159e+02	6.139433e+02	6.267644e+02	6.632462e+02	8.852367e+02	
